"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 18:10:53 GET 2025","Mon May 19 18:10:53 GET 2025","802","tests","test_user_orders","TestUserOrdersList","","","Тест на безуспешное получение списка заказов конкретного пользователя без авторизации",""
"passed","Mon May 19 18:10:38 GET 2025","Mon May 19 18:10:38 GET 2025","0","tests","test_user_creation","TestCreateUser","","","Тест на успешное создание пользователя",""
"passed","Mon May 19 18:10:48 GET 2025","Mon May 19 18:10:48 GET 2025","566","tests","test_user_login","TestUserLogin","","","Тест на ошибку при авторизации с неправильным полем Email",""
"passed","Mon May 19 18:10:39 GET 2025","Mon May 19 18:10:40 GET 2025","515","tests","test_user_creation","TestCreateUser","","","Тест на невозможность создания двух одинаковых пользователей",""
"passed","Mon May 19 18:10:58 GET 2025","Mon May 19 18:11:01 GET 2025","2610","tests","test_user_update","TestUserUpdate","","","Тест на безуспешное обновление информации о пользователе без авторизации",""
"passed","Mon May 19 18:10:23 GET 2025","Mon May 19 18:10:29 GET 2025","6396","tests","test_order_creation","TestOrderCreation","","","Тест на безуспешное создание заказа авторизованным пользователем без ингредиентов",""
"passed","Mon May 19 18:10:40 GET 2025","Mon May 19 18:10:41 GET 2025","739","tests","test_user_creation","TestCreateUser","","","Тест на ошибку при пустом обязательном поле Пароль",""
"passed","Mon May 19 18:10:55 GET 2025","Mon May 19 18:10:56 GET 2025","783","tests","test_user_update","TestUserUpdate","","","Тест на успешное обновление информации о пользователе с авторизацией",""
"passed","Mon May 19 18:10:45 GET 2025","Mon May 19 18:10:45 GET 2025","747","tests","test_user_login","TestUserLogin","","","Тест на ошибку при авторизации с неправильным полем Пароль",""
"passed","Mon May 19 18:10:42 GET 2025","Mon May 19 18:10:43 GET 2025","451","tests","test_user_login","TestUserLogin","","","Тест на успешную авторизацию пользователя",""
"passed","Mon May 19 18:10:13 GET 2025","Mon May 19 18:10:13 GET 2025","0","tests","test_order_creation","TestOrderCreation","","","Тест на успешное создание заказа неавторизованным пользователем",""
"passed","Mon May 19 18:10:41 GET 2025","Mon May 19 18:10:42 GET 2025","906","tests","test_user_creation","TestCreateUser","","","Тест на ошибку при пустом обязательном поле Имя",""
"passed","Mon May 19 18:10:40 GET 2025","Mon May 19 18:10:40 GET 2025","375","tests","test_user_creation","TestCreateUser","","","Тест на ошибку при пустом обязательном поле Email",""
"passed","Mon May 19 18:10:34 GET 2025","Mon May 19 18:10:35 GET 2025","1156","tests","test_order_creation","TestOrderCreation","","","Тест на безуспешное создание заказа авторизованным пользователем c неправильным хэшем ингредиента",""
"passed","Mon May 19 18:10:00 GET 2025","Mon May 19 18:10:00 GET 2025","0","tests","test_order_creation","TestOrderCreation","","","Тест на успешное создание заказа авторизованным пользователем и ингредиентами",""
"passed","Mon May 19 18:10:50 GET 2025","Mon May 19 18:10:51 GET 2025","1028","tests","test_user_orders","TestUserOrdersList","","","Тест на успешное получение списка заказов конкретного пользователя с авторизацией",""
